H(n) Coefficients
53
-26 -0.0009139992863517437
-25 0.00021673590419046877
-24 0.0013270279104887234
-23 0.00032138489026470367
-22 -0.0019238169969861929
-21 -0.001468364882846735
-20 0.002362730063811155
-19 0.0034846572535809158
-18 -0.001992580747795417
-17 -0.00628372374853178
-16 6.696891271521439e-18
-15 0.009266944780227557
-14 0.004343063813688491
-13 -0.011271294989904817
-12 -0.011402457741645475
-11 0.010630707260038617
-10 0.020964394470525935
-9 -0.005258312864397568
-8 -0.03215608488695963
-7 -0.007544980783418437
-6 0.04354614781492613
-5 0.03259319796377245
-4 -0.05341364352101619
-3 -0.0856820326824038
-2 0.06012213311463033
-1 0.31118567263565045
0 0.4375
1 0.31118567263565045
2 0.06012213311463033
3 -0.0856820326824038
4 -0.05341364352101619
5 0.03259319796377245
6 0.04354614781492613
7 -0.007544980783418437
8 -0.03215608488695963
9 -0.005258312864397568
10 0.020964394470525935
11 0.010630707260038617
12 -0.011402457741645475
13 -0.011271294989904817
14 0.004343063813688491
15 0.009266944780227557
16 6.696891271521439e-18
17 -0.00628372374853178
18 -0.001992580747795417
19 0.0034846572535809158
20 0.002362730063811155
21 -0.001468364882846735
22 -0.0019238169969861929
23 0.00032138489026470367
24 0.0013270279104887234
25 0.00021673590419046877
26 -0.0009139992863517437
